Tag
chlonette
hurt/comfort
marinette dupain cheng
chloe bourgeois
Chloe redemption
thoughts
hurt/comfort
fake friend quotes
Modern AU
Biker AU
Hurt/Comfort
Emotional Hurt/Comfort
Hurt Jaskier
Disabled Jaskier
Major Character Injury
Implied/Referenced Domestic Violence
Implied/Referenced Abuse
Past Jaskier/Valdo Marx
Trials
Angst With a Happy Ending
Geraskier
Found Family
Fluff
Angst
Take Me Back (To the Night We Met)
To the Night We Met
whump gif
hurt/comfort
hurt/comfort gif
general hospital
gunshot wound
shot
injury
whumpblr
pretty man hurty
shit quality but oh well idc
fever
infection
caretaking
caretaker
male whump
whumpy goodness
You can watch it on youtube just by searching: GH Dex and Josslyn
:)
cw acid burn
hurt/comfort
httyd
httyd changewing
httyd oc
httyd zephyr
ouchies
httyd rtte
how to train your dragon
changewing
my art
drama
angst
hurt/comfort
Emotional Hurt/Comfort
implied torture
implied human trafficking
implied noncon
implied drug use
eventual smut
eventual romance
MCD
MAJOR CHARACTER DEATH
disparate pathways
i will always write jefferson
he loves Bee
depression
self-deprecating dean winchester
hurt/comfort
adoption
spiraling
dean/cas
destiel
destiel fic
destiel ficlet
spn
supernatural
dean
cas
castiel is saved from the empty
first kiss
Castiel/Dean first kiss
scars
human cas
love confessions
chuck is an asshole
catatonic cas
scared cas
hugs
mutual pining
sad with a happy ending
tattoos
ptsd
destiel
spn
supernatural
destiel fic
destiel ficlet
fix-it
Chrissy Cunningham lives
angst
hurt/comfort
mutual crushes
it's pretty adorable
two peas in a pod
they just get each other
flirting
smut
Chrissy POV
one-shot
Status: Completed
eddie munson
eddissy
eddie and chrissy
eddie x chrissy
hellcheer
chrissy deserved better
munningham
eddsy
stranger things
chreddie
chrissy cunningham
New Chapter
original slash
hurt/comfort
whump
hurt/comfort
fluff
Eddie is a sweetheart
mutual crush
Eddie POV
one-shot
Status: Completed
eddie munson
eddissy
eddie and chrissy
eddie x chrissy
chrissy deserved better
hellcheer
munningham
stranger things
eddsy
chreddie
chrissy cunningham
whump tropes
whump prompts
whump prompt
caretaking prompts
caretaking prompt
eddie munson x singlemom!reader
eddie munson
eddie munson smut
hurt/comfort
dad eddie munson
dad!eddie x mom!reader
dad!eddie munson
singlemom!reader
eddie munson fluff
eddie munson x reader
eddie munson x female character
eddie munson x fem!reader smut
eddie munson x you
eddie munson hurt/comfort
poetry
hurt/comfort
im hurtin
childhood trauma
trauma
reader insert
fluff
hurt/comfort
angst with a happy ending
fanfic
listen
health & fitness
hurt/comfort
moving on
love
peace
hurt/comfort
star holder au
star holder
hurt/comfort
made myself tear up oof
tw blood
eclipse x reader
deity au
anne of the island
hurt/comfort
gingerbread
shirbert
anne shirley/gilbert blythe
this is the prompt fill that doesn't know when to quit
fruitloopsforlife
romance
a little angst this time
still pretty fluffy
aogg
the famous blythe gingerbread
hurt/comfort
hmmmm
love life
darwin
hurt/comfort
fanfiction
my writing
angst
hurt/comfort
dadwin
elwin heslege
keefe heslege
look at me writing
canon compliant
based on that one tumblr prompt
whumpee
caretaker
hurt/comfort
whumpee x caretaker
whump thoughts
whump dialogue
whump scenario
whump writing
eddie munson imagine
stranger things imagine
sickfic
hurt/comfort
eddie munson fluff
angst
hurt/comfort
found family
fluff
smut
mutual pining
Chrissy deserves BETTER
only child Chrissy
and there was only ONE bed
we love  Wayne in this house
alternating POV
multiple chapters
Status: WIP
eddie munson
eddissy
eddie and chrissy
eddie x chrissy
hellcheer
chrissy deserved better
munningham
eddsy
stranger things
chreddie
chrissy cunningham
heartbeat
hurt/comfort
writing
mutual pining
hurt/comfort
angst
fluff
Eddie helping Chrissy
self-esteem issues
overthinking
alternating POV
one-shot
part of a series
Status: completed
eddie munson
eddissy
eddie and chrissy
eddie x chrissy
hellcheer
chrissy deserved better
munningham
eddsy
stranger things
chreddie
chrissy cunningham
cheating
the drifter destiny
destiny 2 headcanons
grown men crying
hurt/comfort
fanfiction
found family
hurt/comfort
helsinki
tallinn
shitpost
shit post
trying to be funny
stupid humor
character inspiration
creative writing
hurt/comfort
the band ghost fanfiction
prime mover
hurt/comfort
comfort
hurt/comfort
hurt
genshin impact
genshin
genshin harbingers
harbingers
Arlecchino
Knave
The Knave
x reader
x y/n
Arlecchino x reader
Knave x reader
arlecchino x y/n
Knave x y/n
genshin x you
genshin headcanons
fluff
genshin x y/n
genshin impact x reader
genshin x reader
xiao
I actually like this one
i absolutely adore all of my arlecchino requests
Modern AU
Biker AU
Geraskier
Hurt/Comfort
Emotional Hurt/Comfort
Implied/Referenced Abuse
Implied/Referenced Domestic Violence
Major Character Injury
Disabled Character
Chronic Pain
Post-Traumatic Stress Disorder
Aftermath of Violence
Trials
Take Me Back (To the Night We Met)
To the Night We Met
ineffable husbands
autistic crowley
sensory overload
hurt/comfort
mod d
reigen arataka
hurt/comfort
ritsu kageyama
fanfiction
ao3
levihan
hurt/comfort
hurt levi
my fanfiction
hurt/comfort
genshin hurt/comfort
genshin sickfic
genshin impact fic
genshin fanfic
genshin impact fanfic
beiguang
beiguang fanfic
beiguang sickfic
beidou x ningguang
ningguang
beidou
ao3fic
ao3 fanfic
genshin fanfiction
flowers of teyvat
yuniewrites
yuniefics
hurt/comfort
fanfic
Chrissy needs to get out of her mind
cheating
angst
hurt/comfort
mutual attraction
Eddie is a sweet cinnamon roll
Chrissy POV
one-shot
Status: Completed
eddie munson
eddissy
eddie and chrissy
eddie x chrissy
hellcheer
chrissy deserved better
munningham
eddsy
stranger things
chreddie
hurt/comfort
Jaskier
geralt x jaskier x yennefer
yenskier
geraskier
geraskefer
blood /
hurt comfort
suicide tw
hurt/comfort
tell me why
pls help
ya allah
lee know angst
hurt/comfort
lee know hurt comfort
stray kids fluff
stray kids angst
stray kids hurt comfort
lee know x reader
stray kids x reader
yeah it's whatever
hurtful
hurt/comfort
sadnees
kinda depressing
negative thinking
random thoughts
intrusive thoughts
angst
Magic
httyd books
x reader
insert fic
Hiccup Horrendous Haddock III x reader
murder
fluff
found family
it’s my trauma and I get to decide how I cope with it
amnesia
I planned to have it finished by now but…
I gift this half finished fic to the fandom
Happy whichever day of doomsday
merry Christmas
dragon rebellion
Gender neutral reader
I worked really hard on this
slow burn
ao3 fanfic
hurt/comfort
tattoo kink
ao3 tags
Harry Potter
fanfic review
fanfic
hp fanfic
call the midwife sickfic
sickfic inspo
illness/injury
angst
hurt/comfort
love/hate
SSK22
arthur x guenièvre
fck this and let me serve you some angst for chrismas
reverse chronology
FBM
kinda sorta
hurt/comfort
angst
tragedy
romance
but where is it
nct scenarios
bts scenarios
cpop scenarios
kpop scenarios
shitpost
jela
bendelacreme
jinkx monsoon
hurt/comfort
fluff
holiday fic
lesbian au
divine
tw mentions of death
(please tell me if I've mis-tagged anything! -v)
undertale au
Kustard
Hurt/comfort
Fluff and angst
my writing!
mcytblr holiday exchange
fluff
hurt/comfort
god i forgot how to tag things
please read it i promise it's good besties
i'm feeding you that sweet sweet bedrock bros healing arc
its good :)
malevolent fic
hurt/comfort
whump
lmk what you think if you can! i feel nervous lol
bts fic
fluff
slice of life
hurt/comfort
falling in love
strangers to lovers
alternate universe
dancer au
ballet au
jikook
jikook fic
jimin x jungkook
jimin fic
jungkook fic
established relationship
time travel
fluff
gen
short fic
stevetony
stony
author: itsallAvengers
whump ask game
hurt/comfort
hurt/comfort ask game
team whump
whumpee x caretaker
caretaker x whumpee
ask game
as requested
writing
writeblr
creative writing
creative writing community
whump community
writing community
fever
injury
drugging
noncon drugging
delirium
delirious whumpee
infected wound
wednesday addams
wednesday netflix
hurt/comfort
wavier
xavier x wednesday
wednesday x xavier
thing
Modern AU
Biker AU
Geraskier
Hurt/Comfort
Emotional Hurt/Comfort
Found Family
Geralt is Best Dad to Ciri
Hurt Jaskier
Disabled Jaskier
Chronic Pain
Post-Traumatic Stress Disorder
Implied/Referenced Abuse
Implied/Referenced Domestic Violence
Valdo Marx is a Monster
Aftermath of Violence
Fluff
Angst
Fic is complete!
Angst With a Happy Ending
Take Me Back
whump writing
whump drabble
hurt/comfort
comfort
whumpee
caretaker
aftermath
scarred
scars
pain
sensitive to cold
whump snippet
whump snippet saturday
whumpshots
also have some happy holidays!
this year is almost over
hope ye enjoy whump snippet saturday so far
it's a great way to stay a little more active on here :)
x reader
fluff
hurt/comfort
Bobby x reader
spn
my doodles
hurt/comfort
motion blur
writing
hug
shizuo heiwajima
art dump
izaya orihara
Shizaya
shizaya
Izaya needs to wear a turtleneck sweater because he's a wh0re
stop making Shizuo upset
he's trying
christmas
fluff
smut
hurt/comfort
romance
love at first sight
totally indulgent just BECAUSE we all fucking deserve it
one-shot
my writing
new
torture
hurt/comfort
nail
coc 2022
carry on countdown
hurt/comfort
tw blood
simon snow series
simon snow
baz pitch
winx the fate saga
fate saga
fanfic
hurt/comfort
sky of eraklyon
fate the winx saga
whump
hurt/comfort
love
lovers
hurt
oldschool
r&b girls
r&b singer
manhattan
rhaenicent fanfic
rhaenyra x alicent
whump fic
hurt/comfort
rhaenyra is a much different whumpee than eleanor and im excited to work with her!!
hurt/comfort
angst with a happy ending
getting back together
introspective
mature
short fic
stevetony
stony
author: anonymous
alex turner imagine
alex turner hurt/comfort
hurt/comfort
arctic monkeys
505
i crumble completely when you cry
fanfic
y/n
eddie my beloved
eddie x reader
hurt/comfort
fanfiction
stranger things
period mention
period pain
man i feel like a woman
soft eddie munson
villain x hero
writeblr
snippet
hurt/comfort
hero x villain community
comfort
sleep
cheek kisses
fluff
hurt/comfort
obi wan whump
fic
suited obi wan
obi wan series
obi-wan
obi wan needs a hug
hurt/comfort
crying
hurt/comfort
tarlos
911 ls fic
tk strand
carlos reyes
work injuries
sports injuries
headaches
they're just a snuggly bunch okay?
off-screen whump
restinjest
mun kirby
lamb bleatings: ooc
kirby speaks
kirby's corner
hurt/comfort
hurtsamwinchester
fluff
spn
my asks
hurt/comfort
reigen
his whole bloodline has a concussion from that hit
Medical attention he needs it
reigen
hurt/comfort
s3ep12
mob psycho 100
tw: angst
hurt/comfort
sfw tickle community
sfw tk community
sfw tickles
sfw tickling
sfw tickling community
mha tickles
bnha tickles
my hero academia tickles
angst
slight angst
mha angst
bnha angst
my hero academia angst
ler!kirishima
lee!reader
ler!reader
lee!kirishima
ticklish!reader
ticklish!kirishima
kirishima ejirou
ejirou kirishima
male!reader
kofi
kofi comissions
kofimission
finally
this took forever lol
riordanverse
frank zhang
x reader
hurt/comfort
fluff
angst
hurt/comfort
Hurt
comfort
Fluff
drabble
writing drabble
whumpee x caretaker
caretaker
caretaker x whumpee
spike spiegel x reader
spike spiegel fluff
hurt/comfort
comfort
bebop fluff
i need to stop using spike spiegel as a father figure
established relationship
hurt/comfort
fluff
introspective
mature
stevetony
stony
author: erde
a question!!
you guys are the best
ao3
hurt/comfort
writing advice
jason grace
x reader
hurt/comfort
jason grace x reader
blurb
leo thoughts
leo valdez
leo valdez x reader
hurt/comfort
also headcanon as treat
fck this turned out as an excuse to just ramble my ideas
im sorry
well not really
avm
avm fanart
avm king orange
avm mango
avm purple
text post
hurt/comfort
Mario
Luigi
Mario is a good bro
Luigi's mansion
i'm so soft for them
M//ao Mao
Hurt/Comfort
Scenarios
Txt
merthur
merthur fic rec
canon era
hurt/comfort
Arthur Knows About Merlin's Magic
angst
mutual pining
fanart
hurt/comfort
princess x knight
doodles
hurt/comfort
rottmnt
rise of the teenage mutant ninja turtle fanfiction
leonardo
raphael
michelangelo
donatello
future leo
casey jr
undercoverwizardfanfiction
hurt/comfort
overstimulated
donatello
leonardo
raphael
michelangelo
splinter
rise of the teenage mutant ninja turtle fanfiction
rottmnt
brothers
undercoverwizardfanfiction
hurt/comfort
rise of the teenage mutant ninja turtle fanfiction
michelangelo
leonardo
raphael
donatello
splinter
baron draxum
lunch subordinate
autistic donnie
rottmnt
ao3 fanfic
reigen arakata
reigen
hurt/comfort
hurt/comfort
childe x reader
childe
cyno
cyno x reader
kazuha
kazuha x reader
zhongli
no upside down
hurt/comfort
fluff
angst
smut
friends to lovers
we love Brenda in this house
Chrissy POV
two-shot
Status: Completed
eddie munson
eddissy
eddie and chrissy
eddie x chrissy
chrissy deserved better
hellcheer
stranger things
munningham
eddsy
chreddie
chrissy cunningham
Hurt/Comfort
Emotional Hurt/Comfort
Romance
Meet-Ugly
Alternate Universe - Soulmates
Immortal Alec Lightwood
might not get mentioned but he's immortal
BAMF Alec Lightwood
BAMF Magnus Bane
Canon-Typical Violence
( shadowhunters )
fic+rec+page
ao3 fanfic
ao3 tags
marauders fic
liv fic
sirius black
hurt/comfort
5+1 fic
saturday snippet
on a monday
rottmnt leo
rottmnt donnie
hurt/comfort
oneshot
my writing
rottmnt leonardo
rottmnt donatello
expected
hurt/comfort
matt murdock x male reader
matt murdock fluff
hurt/comfort
marvel x male reader
marvel x reader
daredevil x reader
daredevil x male reader
daredevil fluff
Matt murdock x autistic reader
marvel x autistic reader
autistic reader
male autistic reader
daredevil x autistic reader
fanfic
fanfic writing
marvel
matt murdock
daredevil
male reader
idk what im talking about idk
stevie baby
eddie bby
hurt/comfort
i guess
monstrous writes
monstrous bigboy
whump
hurt/comfort
captain swan
my fics
darkness
hurt/comfort
linkeduniverse
lyra writes
whump
hurt/comfort
lu twilight
lu legend
lu time
lu wild
i can't tag you for some reason clay aaah
hurt/comfort
yes this is about Wesper
of course its about Wesper
they’re one of the few things helping me stay (kinda) mentally stable okay
anyways thanks for coming to my ted talk
whump
fae
fantasy
fae romance
fantasy romance
queer romance
mm romance
gay romance
historical fantasy
oak king holly king
tales from blackthorn briar
sebastian nothwell
sunday snippet
requests
wild moss art
hurt/comfort
hurt/comfort drabble
hapi
hapi fe
hapi fe3h
hapi fe16
hapi fire emblem
yuri leclerc
yuri fe
yuri fe3h
yuri fire emblem
yuri fe16
onyxed drabbles
coc 2022
carry on countdown 2022
hurt/comfort
simon snow
simon baz
simon snow series
Carry On series
carry on fandom
snobaz
Omi's Dec 2022 Post
Dec - rewind1
light angst
hurt/comfort
slice of life
second person pov
post-S4
Chrissy lives
hurt/comfort
getting together
Chrissy is DONE
Chrissy is a badass
Chrissy POV
one-shot
Status: Completed
eddie munson
eddissy
eddie and chrissy
eddie x chrissy
hellcheer
chrissy deserved better
stranger things
munningham
eddsy
chreddie
chrissy cunningham
dream of the endless
hob gadling
1989
hurt/comfort
whump
hurt hob gadling
whump writing
whump drabble
hurt/comfort
emotional whump
aftermath
shock
caretaker
whumpee
whump snippet
whump snippet saturday
whumpshots
hurt/comfort
fluff
established relationship
gen
short fic
stevetony
stony
author: S_Horne
sharing a bed
pre slash
gen
short fic
stevetony
stony
author: stegasaurus
fluff
established relationship
curtain fic
gen
short fic
stevetony
stony
author: MusicalLuna
M//ao Mao
Stomach Growling
Hunger
Hurt/Comfort
Txt
being alone
failed
hurt/comfort
