date,tags
2016-01-20 01:53:24 GMT,"fanfiction, brooklyn nine nine, b99, peraltiago, hurt/comfort, my b99 fics, my fic"
2017-12-31 21:31:03 GMT,"asks, gingersamson18, hurt/comfort, writing"
2017-12-31 19:17:29 GMT,"tw rape mention, qui-gon, obi-wan, hurt/comfort, mpost, anon, fic, art"
2017-12-31 03:49:11 GMT,"sickfics, whump, original characters, hurt/comfort, My writing"
2017-12-30 17:44:18 GMT,"fake ah crew, fahc, freewood, hurt/comfort, angst, i was gonna post this later, but i finished it now so figured why not haha, enjoy the hurt anon!, it was far too much fun to write, Anonymous"
2017-12-30 04:00:25 GMT,"hurt/comfort, emotional hurt/comfort, horses"
2017-12-30 03:56:43 GMT,"avengers fanfic, bucky x steve x reader, stucky x reader, avengers reader insert, hurt/comfort, fluff, nightmares"
2017-12-29 20:43:35 GMT,"genyatta, fanfic, hurt/comfort, canon character death"
2017-12-29 15:00:08 GMT,"miya atsumu, miya osamu, guild wars 2 au, my writing, hurt/comfort, well sorta"
2017-12-29 12:54:49 GMT,"12daysofwincestmas, wincest, hurt/comfort, hurt!sam, submission"
2017-12-29 08:55:09 GMT,"cor, cor leonis, iris amicitia, hurt/comfort, is there even a tag for this pairing?, corris, iror, cor&iris"
2017-12-28 23:39:24 GMT,"sanders sides, logicality, logan sanders, patton sanders, hurt/comfort, fluff, crack, fics, my fics, mine, drabble, my posts"
2017-12-28 14:55:35 GMT,"phanfic, phanfics, fluff, hurt/comfort, tw: anxiety, 100 fics"
2017-12-28 00:52:35 GMT,"doctorroseprompts, kid fic, tentoo x rose, hurt/comfort, christmas, angst, love, family, fluff, ficandchips, tenroseforeverandever's fic"
2017-12-27 14:16:48 GMT,"the greatest showman, fanfic, p.t barnum, hurt/comfort, sickfic, greatest showman, musical, movie"
2017-12-27 07:05:05 GMT,"jyn erso, cassian andor, rogue one, fanfiction, hurt/comfort, but right now it's all hurt"
2017-12-27 00:36:35 GMT,"Pharmercy, Angst, Drama, Hurt/Comfort, Pharah, Mercy, Overwatch"
2017-12-26 22:30:56 GMT,"steven universe, lapidot, fanfiction, hurt/comfort, fluff, my fic, they don't actually fuse, I'm sorry!, I know that's a tease, but it was necessary for the story, I promise, >_>, lapis lazuli, peridot, winter theme"
2017-12-26 09:01:01 GMT,"sastiel fanfic, ffnet, rated m, english, hurt/comfort, romance"
2017-12-26 06:37:32 GMT,"whump, whump community, hurt/comfort, hc, whump trope"
2017-12-25 18:05:52 GMT,"supergirl, supergirl fanfic, supercorp, hurt/comfort, sick, supercorp fanfic, lena luthor, kara danvers, mine"
2017-12-25 16:31:51 GMT,"Kedgeup, 12 days of shipmas, Fell Papyrus, Sans, hurt/comfort, heavy emphasis on the comfort, Fell has a tail, Also I call him Fell in this fic, Why?, Why the hell not? That's why., my work"
2017-12-25 16:09:14 GMT,"kedgeup, hurt/comfort, nightmares, sfw, some fluff, movie marathon, comic is a star wars nerd, edge likes it too, waffles!!!, ptsd, poor sansy, but edge's there to comfort him, cuddling, kissing, two dorks cooking waffles, Undertale Secret Santa 2017"
2017-12-25 14:09:49 GMT,"mlsecretsanta 2k17, miraculous ladybug, adrinette friendship, hurt/comfort, fluff, MERRY CHRISTMAS!!, my fics"
2017-12-25 06:15:22 GMT,"logan writes, angst, hurt/comfort, sanders sides, logicality, logan sanders, patton sanders, virgil sanders, roman sanders, thomas sanders, analogical, fics, my fic, prompt fic, prompts, emotional distress, [edited], posted to AO3"
2017-12-24 07:00:04 GMT,"avengers fanfiction, marvel fanfiction, bucky/clint/steve/natasha, fluff, hurt/comfort, bucky/clint/steve/natasha fic, ryleewrites"
2017-12-24 06:47:07 GMT,"trixya, hurt/comfort, angst, rpdr fic, rpdrxmasficexchange"
2017-12-24 06:17:10 GMT,"hurt/comfort, one shot, polyamory, homelessness, south/dusty/jack"
2017-12-23 20:36:33 GMT,"sastiel fanfic, ffnet, rated m, english, hurt/comfort, romance, au"
2017-12-23 19:37:37 GMT,"poto fanfiction, e/c, romance, hurt/comfort, this is a hot mess im so sorry, read it anyway pls, and review, that would be cool"
2017-12-23 19:11:08 GMT,"person of interest, rinch, my fic, this is why i need more finch whump, hurt/comfort"
2017-12-23 17:02:06 GMT,"ot7, jungkook centric, fluff, hurt/comfort"
2017-12-23 00:47:25 GMT,"Twistfell, Underfell, Fell Papyrus, Twist Papyrus, Hurt/comfort, Fluff, Edgy fluff, my work"
2017-12-22 14:01:13 GMT,"hurt/comfort, fic rec, lance, voltron, voltron protection squad, what the fuck david, stalker, boiling water, what the fuck, how the fuck, who the fuck, i'm screaming, throw hands with me david, yukisetsu, stranger danger"
2017-12-22 12:36:46 GMT,"nick valentine, fallout, fallout 4, hurt/comfort, fanfic, fallout fanfic, female!sole survivor, fem!sole/nick valentine"
2017-12-22 07:29:44 GMT,"whump fanfic, mine, spiderman, peter parker, hurt/comfort, im so mean, but it was a prompt so, what am i gonna do"
2017-12-21 15:44:45 GMT,"wincest, hurt/comfort, pining, beta needed, tropes"
2017-12-21 14:00:58 GMT,"fic rec, hurt/comfort, lance, voltron, cold temperature, hypothermia, yukisetsu, below freezing"
2017-12-20 22:20:15 GMT,"dghda, dirk gently, post season 1, physical injury, hurt/comfort, todd brotzman, farah black, brotzly, fan fiction, fic prompt, send me prompts, fic, dirk gently’s holistic detective agency, protecticarus"
2017-12-20 21:01:29 GMT,"dean winchester, jensen ackles, hurt/comfort, sad, my edit, quote edit, supernatural, spn"
2017-12-20 17:05:44 GMT,"original work, angst with a happy ending, hurt/comfort, art therapy, mental illness"
2017-12-20 02:25:17 GMT,"angst, hurt/comfort, grief, mourning, this one breaks my heart everytime, os, larry, Larry Stylinson, larry fics, larry fic rec, stylinson, fics, fics recs, fics rec, recs, fics recommendation, harry styles, louis tomlinson"
2017-12-19 16:40:49 GMT,"Korrasami, Korra, Asami, Hurt/Comfort, Angst, PTSD, Korrasamiweek"
2017-12-19 07:32:31 GMT,"stonathanweek2017, stonathan, stranger things fic, hurt/comfort, blood, fighting"
2017-12-19 04:12:56 GMT,"wynonna earp, wayhaught, waverly earp, nicole haught, hurt/comfort, archiveofourown, ao3, wayhaught fic"
2017-12-18 16:52:12 GMT,"McDanno, H50, dardevil, stargate atlantis, hurt/comfort, fic recs, self recs, long post"
2017-12-18 05:10:43 GMT,"captain canary, sara lance, therapist leo snart, hurt/comfort"
2017-12-18 04:34:45 GMT,"tectonics, hexen, katlaska, trixya, hurt/comfort, katya zamolodchikova, alaska thunderfuck, trixie mattel, rpdr fanfiction, sick fic, canon compliant"
2017-12-17 03:29:13 GMT,"myfics, sanders sides, logan sanders, roman sanders, hurt/comfort, tw isolation, tw intrusive thoughts, tw uselessness, tw self blame"
2017-12-16 23:14:49 GMT,"enjolras/grantaire, angst, hurt/comfort, gunshot wounds, Grantaire is Eponine, Enjolras is Marius, A little fall of rain, major character death, tw death, tw violence, tw gunshot, sad, Les misérables, Les mis, enjoltaire, enjoltaire angst, mine, my works, my writing"
2017-12-16 12:02:32 GMT,"Whump, hurt/comfort, whump movie, movie rec, mine, lucas Till, pain, macgyver"
2017-12-16 11:16:41 GMT,"whump, movie rec, hurt/comfort, lucas till, macgyver, warewolves, mine, blood, angst, whump movie"
2017-12-16 01:01:14 GMT,"katalyna writes, zevran/kahlia, kahlia mahariel, fluff, hurt/comfort, dadrunkwriting"
2017-12-15 19:17:19 GMT,"Ace Attorney, Phoenix Wright, Miles Edgeworth, Hurt/Comfort, h/c, whump, narumitsu, wrightworth, pwkm, phoenix wright kink meme, fanfiction, fanfics, recommendation, shortcut, fluff, Pess"
2017-12-14 08:48:42 GMT,"whump, hurt/comfort, fanfic, peter parker, mine, spider-man"
2017-12-13 21:11:40 GMT,"doctorroseprompts, kid fic, tentoo x rose, family, hurt/comfort, angst, christmas, love, romance, fluff, humour"
2017-12-13 17:02:16 GMT,"shallura, shallura headcanons, shallura holidays, day 13, hurt/comfort, group hugs are healing, shiro, allura, headcanons, my writing"
2017-12-13 13:45:49 GMT,"jjbahurtcomfortweek, hurt/comfort, whump, jjba"
2017-12-13 11:01:17 GMT,"notrated, homophobia, coming out, friends to lovers, hurt/comfort, zimbits, 5to10, completed, oneshot, pvtamytucker, omgcp, check please fic"
2017-12-11 21:30:33 GMT,"snowbaz, carry on, hurt/comfort, hurt/comfort masterlist, hurt comfort, masterlist"
2017-12-10 21:27:10 GMT,"whump, hurt/comfort, google trends, graphs"
2017-12-10 12:00:29 GMT,"lirael writes, 31 days of ficmas, doctorroseprompts, tentoo x rose, hurt/comfort, kind of i guess, this is something i've been wanting to write for awhile, but i wasn't sure what prompt to put it under, i feel like it was too ambitious for me but i'm sharing it anyway, anyway..., tentoo, rose tyler, night terrors, dw, dw drabble"
2017-12-09 08:35:22 GMT,"mine, writing, spn fanfic, supernatural fanfiction, hurt/comfort, i swear i will answer messages and be back tumbling soon, i have to catch up on the show first and finish some writing, hoping to be back in a week or two, in the mean time feel free to read my fics, teenchesters, brotherly love, ao3, brothers, brotherly feels, pre-series, first half"
2017-12-09 04:00:18 GMT,"hurt/comfort, but weird hurt/comfort, friendship, can you believe these assholes can make friends?, submission"
2017-12-09 01:52:43 GMT,"outlander, seasick, hurt/comfort, claire x jamie, hnnnng, i very much want this"
2017-12-09 00:22:52 GMT,"Fanfic, AO3 Link, dystopia, Past Abuse, Hurt/Comfort"
