
fanfiction, brooklyn nine nine, b99, peraltiago, hurt/comfort, my b99 fics, my fic
asks, gingersamson18, hurt/comfort, writing
tw rape mention, qui-gon, obi-wan, hurt/comfort, mpost, anon, fic, art
sickfics, whump, original characters, hurt/comfort, My writing
fake ah crew, fahc, freewood, hurt/comfort, angst, i was gonna post this later, but i finished it now so figured why not haha, enjoy the hurt anon!, it was far too much fun to write, Anonymous
hurt/comfort, emotional hurt/comfort, horses
avengers fanfic, bucky x steve x reader, stucky x reader, avengers reader insert, hurt/comfort, fluff, nightmares
genyatta, fanfic, hurt/comfort, canon character death
miya atsumu, miya osamu, guild wars 2 au, my writing, hurt/comfort, well sorta
12daysofwincestmas, wincest, hurt/comfort, hurt!sam, submission
cor, cor leonis, iris amicitia, hurt/comfort, is there even a tag for this pairing?, corris, iror, cor&iris
sanders sides, logicality, logan sanders, patton sanders, hurt/comfort, fluff, crack, fics, my fics, mine, drabble, my posts
phanfic, phanfics, fluff, hurt/comfort, tw: anxiety, 100 fics
doctorroseprompts, kid fic, tentoo x rose, hurt/comfort, christmas, angst, love, family, fluff, ficandchips, tenroseforeverandever's fic
the greatest showman, fanfic, p.t barnum, hurt/comfort, sickfic, greatest showman, musical, movie
jyn erso, cassian andor, rogue one, fanfiction, hurt/comfort, but right now it's all hurt
Pharmercy, Angst, Drama, Hurt/Comfort, Pharah, Mercy, Overwatch
steven universe, lapidot, fanfiction, hurt/comfort, fluff, my fic, they don't actually fuse, I'm sorry!, I know that's a tease, but it was necessary for the story, I promise, >_>, lapis lazuli, peridot, winter theme
sastiel fanfic, ffnet, rated m, english, hurt/comfort, romance
whump, whump community, hurt/comfort, hc, whump trope
supergirl, supergirl fanfic, supercorp, hurt/comfort, sick, supercorp fanfic, lena luthor, kara danvers, mine
Kedgeup, 12 days of shipmas, Fell Papyrus, Sans, hurt/comfort, heavy emphasis on the comfort, Fell has a tail, Also I call him Fell in this fic, Why?, Why the hell not? That's why., my work
kedgeup, hurt/comfort, nightmares, sfw, some fluff, movie marathon, comic is a star wars nerd, edge likes it too, waffles!!!, ptsd, poor sansy, but edge's there to comfort him, cuddling, kissing, two dorks cooking waffles, Undertale Secret Santa 2017
mlsecretsanta 2k17, miraculous ladybug, adrinette friendship, hurt/comfort, fluff, MERRY CHRISTMAS!!, my fics
logan writes, angst, hurt/comfort, sanders sides, logicality, logan sanders, patton sanders, virgil sanders, roman sanders, thomas sanders, analogical, fics, my fic, prompt fic, prompts, emotional distress, [edited], posted to AO3
avengers fanfiction, marvel fanfiction, bucky/clint/steve/natasha, fluff, hurt/comfort, bucky/clint/steve/natasha fic, ryleewrites
trixya, hurt/comfort, angst, rpdr fic, rpdrxmasficexchange
hurt/comfort, one shot, polyamory, homelessness, south/dusty/jack
sastiel fanfic, ffnet, rated m, english, hurt/comfort, romance, au
poto fanfiction, e/c, romance, hurt/comfort, this is a hot mess im so sorry, read it anyway pls, and review, that would be cool
person of interest, rinch, my fic, this is why i need more finch whump, hurt/comfort
ot7, jungkook centric, fluff, hurt/comfort
Twistfell, Underfell, Fell Papyrus, Twist Papyrus, Hurt/comfort, Fluff, Edgy fluff, my work
hurt/comfort, fic rec, lance, voltron, voltron protection squad, what the fuck david, stalker, boiling water, what the fuck, how the fuck, who the fuck, i'm screaming, throw hands with me david, yukisetsu, stranger danger
nick valentine, fallout, fallout 4, hurt/comfort, fanfic, fallout fanfic, female!sole survivor, fem!sole/nick valentine
whump fanfic, mine, spiderman, peter parker, hurt/comfort, im so mean, but it was a prompt so, what am i gonna do
wincest, hurt/comfort, pining, beta needed, tropes
fic rec, hurt/comfort, lance, voltron, cold temperature, hypothermia, yukisetsu, below freezing
dghda, dirk gently, post season 1, physical injury, hurt/comfort, todd brotzman, farah black, brotzly, fan fiction, fic prompt, send me prompts, fic, dirk gently’s holistic detective agency, protecticarus
dean winchester, jensen ackles, hurt/comfort, sad, my edit, quote edit, supernatural, spn
original work, angst with a happy ending, hurt/comfort, art therapy, mental illness
angst, hurt/comfort, grief, mourning, this one breaks my heart everytime, os, larry, Larry Stylinson, larry fics, larry fic rec, stylinson, fics, fics recs, fics rec, recs, fics recommendation, harry styles, louis tomlinson
Korrasami, Korra, Asami, Hurt/Comfort, Angst, PTSD, Korrasamiweek
stonathanweek2017, stonathan, stranger things fic, hurt/comfort, blood, fighting
wynonna earp, wayhaught, waverly earp, nicole haught, hurt/comfort, archiveofourown, ao3, wayhaught fic
McDanno, H50, dardevil, stargate atlantis, hurt/comfort, fic recs, self recs, long post
captain canary, sara lance, therapist leo snart, hurt/comfort
tectonics, hexen, katlaska, trixya, hurt/comfort, katya zamolodchikova, alaska thunderfuck, trixie mattel, rpdr fanfiction, sick fic, canon compliant
myfics, sanders sides, logan sanders, roman sanders, hurt/comfort, tw isolation, tw intrusive thoughts, tw uselessness, tw self blame
enjolras/grantaire, angst, hurt/comfort, gunshot wounds, Grantaire is Eponine, Enjolras is Marius, A little fall of rain, major character death, tw death, tw violence, tw gunshot, sad, Les misérables, Les mis, enjoltaire, enjoltaire angst, mine, my works, my writing
Whump, hurt/comfort, whump movie, movie rec, mine, lucas Till, pain, macgyver
whump, movie rec, hurt/comfort, lucas till, macgyver, warewolves, mine, blood, angst, whump movie
katalyna writes, zevran/kahlia, kahlia mahariel, fluff, hurt/comfort, dadrunkwriting
Ace Attorney, Phoenix Wright, Miles Edgeworth, Hurt/Comfort, h/c, whump, narumitsu, wrightworth, pwkm, phoenix wright kink meme, fanfiction, fanfics, recommendation, shortcut, fluff, Pess
whump, hurt/comfort, fanfic, peter parker, mine, spider-man
doctorroseprompts, kid fic, tentoo x rose, family, hurt/comfort, angst, christmas, love, romance, fluff, humour
shallura, shallura headcanons, shallura holidays, day 13, hurt/comfort, group hugs are healing, shiro, allura, headcanons, my writing
jjbahurtcomfortweek, hurt/comfort, whump, jjba
notrated, homophobia, coming out, friends to lovers, hurt/comfort, zimbits, 5to10, completed, oneshot, pvtamytucker, omgcp, check please fic
snowbaz, carry on, hurt/comfort, hurt/comfort masterlist, hurt comfort, masterlist
whump, hurt/comfort, google trends, graphs
lirael writes, 31 days of ficmas, doctorroseprompts, tentoo x rose, hurt/comfort, kind of i guess, this is something i've been wanting to write for awhile, but i wasn't sure what prompt to put it under, i feel like it was too ambitious for me but i'm sharing it anyway, anyway..., tentoo, rose tyler, night terrors, dw, dw drabble
mine, writing, spn fanfic, supernatural fanfiction, hurt/comfort, i swear i will answer messages and be back tumbling soon, i have to catch up on the show first and finish some writing, hoping to be back in a week or two, in the mean time feel free to read my fics, teenchesters, brotherly love, ao3, brothers, brotherly feels, pre-series, first half
hurt/comfort, but weird hurt/comfort, friendship, can you believe these assholes can make friends?, submission
outlander, seasick, hurt/comfort, claire x jamie, hnnnng, i very much want this
Fanfic, AO3 Link, dystopia, Past Abuse, Hurt/Comfort
liverpepper, liverpepper au, hurt/comfort, family, nightmares, Sora, roxas, cloud strife, squall leonhart, leonhart-strife
romance, hurt/comfort, oc centric, multi part, kenji x mc, fanfic, sfw
romance, hurt/comfort, oc centric, multi part, kenji x mc, fanfic, sfw
phan, phanfiction, hurt/comfort, nightmares, mandanmand, phantasticlizzyfics
audio, yuriplisetsky-rp, leoji, hurt/comfort, fluff, i really hope you all enjoy this, i worked really really hard on this and it's been in the making for a few weeks now, thank you so much gia you did a lovely job as leo
jacob frye, maxwell roth, fanfiction, hurt/comfort, fluff, rothfrye, Assassin's Creed Syndicate
fanfiction, hurt/comfort, ao3
fanfiction, hurt/comfort, that is a lot!, I like to sort it though, can't I do that?
phanfic, phan, depression, hurt/comfort, im bad at tagging??, this is my first time posting my phanfics to this blog hi
I think that is called.... hurt/comfort, hurt/comfort, give me things like this to read please
maeghan hawke trevelyan, dorian pavus, hurt/comfort, dragon age art
diejo, diejoni, gyjo, whump, hurt/comfort, jjba, fanfic news
Twistfell, Twist Sans, Twist Papyrus, Twist Undyne, hurt/comfort, mild fluff
lethal weapon, martin riggs, whump, hurt/comfort, whumpee, I’m so mad about this trash show, !!!, denial, /ranting
marvel, 40000 60000 words, rating teenplus, protective, hurt/comfort, kidnapping
adore delano, bianca del rio, biadore, fluff, hurt/comfort, abbineedless, rpdr fanfiction, lilbro, mend my soul, canon compliant
KakaGai, Kakashi and Gai, hurt/comfort, Naruto fanfiction, Cleothare, Kakashi, Gai, sickfic, comfort, Kakashi's ninken, Team Gai, Kalira writes, Kalira writes; Naruto, Kalira answers, Naruto, Slowing Down, reading, everybody is stubborn, Kalira writes; KakaGai
angst, canon compliant, hurt/comfort, fics
tw death, death mention, angst, fluff, hurt/comfort, camp camp, cc David, cc max, cc Gwen, cc QM, dadvid, tw alchoholism
I love this, perfect fanfic prompt, Agent Scully, hurt/comfort, The Lone Gunmen, I'm jealous of Scully rn, X-Files, three of a kind, Byers, Frohike, Langley, dean haglund, Tom Braidwood, Bruce Harwood, gillian anderson, txf, x files, lone gunmen, langly, the x-files, scully
mystic messenger, saeran choi, saeran x oc, angst, hurt/comfort, mermaid au, elizabeth 3rd, mysme fic, saeran fic
os, future fic, depression, hurt/comfort, larry, Larry Stylinson, larry fics, larry fic rec, fics, fics recs, fics rec, recs, fics recommendation, louis tomlinson, harry styles, stylinson
bianca del rio, adore delano, biadore, lemonade, hurt/comfort, fluff, rpdr fanfiction, canon compliant
jjbellaweek, Day 2, Date Night, SFW, Hurt/Comfort
phanfics, phanfic, hurt/comfort, kinda?, fluff, pinof, pinof 9, 100 fics
logince, angst, hurt/comfort, logan sanders, roman sanders, princey sanders, logic sanders, sander sides, prompt
